koahao,college,major,subject1,subject1_score,subject2,subject2_score,subject3,subject3_score,subject4,subject4_score,net_score,total_score
103582210011779,168研究生院科学岛分院,085600材料与化工,101思想政治理论,69,204英语（二）,58,302数学（二）,92,802材料科学基础,87,237,306
103582210009340,225软件学院,085400电子信息,101思想政治理论,70,204英语（二）,79,302数学（二）,126,408计算机学科专业基础,112,317,387
103582210001198,215计算机科学与技术学院,085400电子信息,101思想政治理论,74,201英语（一）,76,301数学（一）,122,408计算机学科专业基础,120,318,392
103582210008331,173纳米技术与纳米仿生学院（苏州纳米所）,070300化学,101思想政治理论,69,201英语（一）,71,621物理化学,82,852无机化学,99,252,321
103582210000877,225软件学院,083500软件工程,101思想政治理论,65,201英语（一）,75,301数学（一）,32,408计算机学科专业基础,66,173,238
103582210011070,168研究生院科学岛分院,085600材料与化工,101思想政治理论,74,204英语（二）,82,302数学（二）,89,802材料科学基础,99,270,344
103582210004245,173纳米技术与纳米仿生学院（苏州纳米所）,085400电子信息,101思想政治理论,74,201英语（一）,69,302数学（二）,124,815固体物理,136,329,403
103582210009355,225软件学院,085400电子信息,101思想政治理论,74,204英语（二）,77,302数学（二）,72,408计算机学科专业基础,98,247,321
103582210004062,179稀土学院（赣江创新院）,080500材料科学与工程,101思想政治理论,67,201英语（一）,54,302数学（二）,84,802材料科学基础,90,228,295
103582210011538,226纳米学院,085600材料与化工,101思想政治理论,70,204英语（二）,71,302数学（二）,115,802材料科学基础,108,294,364
103582210011567,226纳米学院,085600材料与化工,101思想政治理论,72,204英语（二）,82,302数学（二）,101,802材料科学基础,107,290,362
103582210011931,209工程科学学院,085800能源动力,101思想政治理论,76,204英语（二）,84,302数学（二）,122,833热工基础,119,325,401
103582210011764,226纳米学院,085600材料与化工,101思想政治理论,63,204英语（二）,53,302数学（二）,77,802材料科学基础,75,205,268
103582210002934,218先进技术研究院,085400电子信息,101思想政治理论,66,201英语（一）,79,301数学（一）,112,845自动控制理论,135,326,392
103582210007517,910生命科学与医学部,071000生物学,101思想政治理论,64,201英语（一）,69,619生物化学与分子生物学,112,841细胞生物学,89,270,334
103582210010844,225软件学院,085400电子信息,101思想政治理论,73,204英语（二）,82,302数学（二）,109,408计算机学科专业基础,114,305,378
103582210000414,218先进技术研究院,085400电子信息,101思想政治理论,63,201英语（一）,78,301数学（一）,68,408计算机学科专业基础,71,217,280
103582210012228,175应用化学与工程学院（长春应化所）,085600材料与化工,101思想政治理论,65,204英语（二）,70,302数学（二）,88,903物理化学B,94,252,317
103582210000109,229大数据学院,085400电子信息,101思想政治理论,76,201英语（一）,72,301数学（一）,96,408计算机学科专业基础,95,263,339
103582210012362,175应用化学与工程学院（长春应化所）,085600材料与化工,101思想政治理论,71,204英语（二）,61,302数学（二）,88,903物理化学B,84,233,304
103582210004269,175应用化学与工程学院（长春应化所）,081700化学工程与技术,101思想政治理论,70,201英语（一）,64,302数学（二）,66,819化学工程学,102,232,302
103582210004579,178能源科学与技术学院（广州能源所）,081700化学工程与技术,101思想政治理论,63,201英语（一）,61,302数学（二）,79,903物理化学B,126,266,329
103582210011501,226纳米学院,085600材料与化工,101思想政治理论,68,204英语（二）,75,302数学（二）,57,802材料科学基础,88,220,288
103582210012296,179稀土学院（赣江创新院）,085600材料与化工,101思想政治理论,69,204英语（二）,61,302数学（二）,84,903物理化学B,87,232,301
103582210011612,226纳米学院,085600材料与化工,101思想政治理论,63,204英语（二）,64,302数学（二）,74,802材料科学基础,72,210,273
103582210011717,226纳米学院,085600材料与化工,101思想政治理论,66,204英语（二）,68,302数学（二）,109,802材料科学基础,98,275,341
103582210009480,225软件学院,085400电子信息,101思想政治理论,68,204英语（二）,68,302数学（二）,37,408计算机学科专业基础,47,152,220
103582210011728,226纳米学院,085600材料与化工,101思想政治理论,72,204英语（二）,69,302数学（二）,60,802材料科学基础,68,197,269
103582210011708,168研究生院科学岛分院,085600材料与化工,101思想政治理论,71,204英语（二）,84,302数学（二）,94,802材料科学基础,94,272,343
103582210011150,226纳米学院,085600材料与化工,101思想政治理论,64,204英语（二）,88,302数学（二）,59,802材料科学基础,93,240,304
103582210001660,214核科学技术学院,082700核科学与技术,101思想政治理论,79,201英语（一）,78,301数学（一）,81,811反应堆物理,100,259,338
103582210011407,226纳米学院,085600材料与化工,101思想政治理论,70,204英语（二）,87,302数学（二）,119,802材料科学基础,106,312,382
103582210003949,179稀土学院（赣江创新院）,080500材料科学与工程,101思想政治理论,72,201英语（一）,70,302数学（二）,94,802材料科学基础,113,277,349
103582210012121,226纳米学院,085600材料与化工,101思想政治理论,70,204英语（二）,71,302数学（二）,106,846综合化学,81,258,328
103582210010652,225软件学院,085400电子信息,101思想政治理论,68,204英语（二）,73,302数学（二）,108,408计算机学科专业基础,103,284,352
103582210009153,225软件学院,085400电子信息,101思想政治理论,71,204英语（二）,87,302数学（二）,56,408计算机学科专业基础,111,254,325
103582210001608,214核科学技术学院,082700核科学与技术,101思想政治理论,73,201英语（一）,75,301数学（一）,92,811反应堆物理,112,279,352
103582210012227,175应用化学与工程学院（长春应化所）,085600材料与化工,101思想政治理论,67,204英语（二）,74,302数学（二）,83,903物理化学B,100,257,324
103582210012224,175应用化学与工程学院（长春应化所）,085600材料与化工,101思想政治理论,69,204英语（二）,75,302数学（二）,85,903物理化学B,81,241,310
103582210010523,225软件学院,085400电子信息,101思想政治理论,75,204英语（二）,80,302数学（二）,101,408计算机学科专业基础,91,272,347
103582210009725,168研究生院科学岛分院,085400电子信息,101思想政治理论,82,204英语（二）,70,302数学（二）,100,408计算机学科专业基础,48,218,300
103582210011795,226纳米学院,085600材料与化工,101思想政治理论,79,204英语（二）,69,302数学（二）,86,802材料科学基础,119,274,353
103582210004152,179稀土学院（赣江创新院）,080500材料科学与工程,101思想政治理论,72,201英语（一）,62,302数学（二）,82,802材料科学基础,84,228,300
