koahao,college,major,subject1,subject1_score,subject2,subject2_score,subject3,subject3_score,subject4,subject4_score,net_score,total_score
103581210011147,225软件学院,085400电子信息,101思想政治理论,77,204英语二,65,302数学二,136,408计算机学科专业基础综合,110,311,388
103581210000916,215计算机科学与技术学院,081200计算机科学与技术,101思想政治理论,76,201英语一,72,301数学一,130,408计算机学科专业基础综合,123,325,401
103581210011140,225软件学院,085400电子信息,101思想政治理论,82,204英语二,82,302数学二,143,408计算机学科专业基础综合,132,357,439
103581210008926,225软件学院,085400电子信息,101思想政治理论,68,204英语二,80,302数学二,132,408计算机学科专业基础综合,107,319,387
103581210008920,225软件学院,085400电子信息,101思想政治理论,81,204英语二,83,302数学二,127,408计算机学科专业基础综合,110,320,401
103581210011430,225软件学院,085400电子信息,101思想政治理论,60,204英语二,78,302数学二,142,408计算机学科专业基础综合,110,330,390
103581210008451,225软件学院,085400电子信息,101思想政治理论,64,204英语二,86,302数学二,136,408计算机学科专业基础综合,108,330,394
103581210010702,225软件学院,085400电子信息,101思想政治理论,77,204英语二,78,302数学二,139,408计算机学科专业基础综合,107,324,401
103581210009465,225软件学院,085400电子信息,101思想政治理论,66,204英语二,79,302数学二,132,408计算机学科专业基础综合,108,319,385
103581210008610,225软件学院,085400电子信息,101思想政治理论,69,204英语二,74,302数学二,103,408计算机学科专业基础综合,102,279,348
103581210009167,225软件学院,085400电子信息,101思想政治理论,73,204英语二,62,302数学二,133,408计算机学科专业基础综合,122,317,390
103581210010429,225软件学院,085400电子信息,101思想政治理论,67,204英语二,83,302数学二,142,408计算机学科专业基础综合,112,337,404
103581210009515,225软件学院,085400电子信息,101思想政治理论,77,204英语二,68,302数学二,137,408计算机学科专业基础综合,107,312,389
103581210010042,225软件学院,085400电子信息,101思想政治理论,68,204英语二,84,302数学二,124,408计算机学科专业基础综合,123,331,399
103581210000695,215计算机科学与技术学院,081200计算机科学与技术,101思想政治理论,69,201英语一,82,301数学一,141,408计算机学科专业基础综合,120,343,412
103581210010423,225软件学院,085400电子信息,101思想政治理论,73,204英语二,71,302数学二,123,408计算机学科专业基础综合,124,318,391
103581210011280,225软件学院,085400电子信息,101思想政治理论,73,204英语二,74,302数学二,138,408计算机学科专业基础综合,127,339,412
103581210011136,225软件学院,085400电子信息,101思想政治理论,79,204英语二,84,302数学二,150,408计算机学科专业基础综合,127,361,440
103581210008369,225软件学院,085400电子信息,101思想政治理论,76,204英语二,82,302数学二,88,408计算机学科专业基础综合,110,280,356
103581210009092,225软件学院,085400电子信息,101思想政治理论,62,204英语二,76,302数学二,138,408计算机学科专业基础综合,94,308,370
103581210012114,225软件学院,085400电子信息,101思想政治理论,67,204英语二,82,302数学二,145,408计算机学科专业基础综合,126,353,420
103581210011120,225软件学院,085400电子信息,101思想政治理论,71,204英语二,81,302数学二,127,408计算机学科专业基础综合,126,334,405
103581210008206,225软件学院,085400电子信息,101思想政治理论,66,204英语二,68,302数学二,133,408计算机学科专业基础综合,120,321,387
103581210008274,225软件学院,085400电子信息,101思想政治理论,70,204英语二,82,302数学二,130,408计算机学科专业基础综合,103,315,385
103581210008924,225软件学院,085400电子信息,101思想政治理论,74,204英语二,72,302数学二,150,408计算机学科专业基础综合,131,353,427
103581210011114,225软件学院,085400电子信息,101思想政治理论,75,204英语二,82,302数学二,128,408计算机学科专业基础综合,110,320,395
103581210009612,225软件学院,085400电子信息,101思想政治理论,78,204英语二,69,302数学二,124,408计算机学科专业基础综合,109,302,380
103581210009027,225软件学院,085400电子信息,101思想政治理论,67,204英语二,71,302数学二,139,408计算机学科专业基础综合,121,331,398
103581210009436,225软件学院,085400电子信息,101思想政治理论,71,204英语二,80,302数学二,150,408计算机学科专业基础综合,109,339,410
103581210011424,225软件学院,085400电子信息,101思想政治理论,70,204英语二,83,302数学二,99,408计算机学科专业基础综合,117,299,369
103581210011786,225软件学院,085400电子信息,101思想政治理论,77,204英语二,80,302数学二,134,408计算机学科专业基础综合,121,335,412
103581210008679,225软件学院,085400电子信息,101思想政治理论,75,204英语二,82,302数学二,124,408计算机学科专业基础综合,109,315,390
103581210012184,225软件学院,085400电子信息,101思想政治理论,77,204英语二,85,302数学二,104,408计算机学科专业基础综合,122,311,388
103581210011050,225软件学院,085400电子信息,101思想政治理论,76,204英语二,66,302数学二,124,408计算机学科专业基础综合,122,312,388
